Year,Won,Lost,Tied,Notes,School
2016,10,3,,,University of Michigan
2015,10,3,,,University of Michigan
2014,5,7,,,University of Michigan
2013,7,6,,,University of Michigan
2012,8,5,,,University of Michigan
2011,11,2,,,University of Michigan
2010,7,6,,,University of Michigan
2009,5,7,,,University of Michigan
2008,3,9,,,University of Michigan
2007,9,4,,,University of Michigan
2006,11,2,,,University of Michigan
2005,7,5,,,University of Michigan
2004,9,3,,,University of Michigan
2003,10,3,,,University of Michigan
2002,10,3,,,University of Michigan
2001,8,4,,,University of Michigan
2000,9,3,,,University of Michigan
1999,10,2,,,University of Michigan
1998,10,3,,,University of Michigan
1997,12,0,,,University of Michigan
2016,3,9,,,Michigan State
2015,12,2,,,Michigan State
2014,11,2,,,Michigan State
2013,13,1,,,Michigan State
2012,7,6,,,Michigan State
2011,11,3,,,Michigan State
2010,11,2,,,Michigan State
2009,6,7,,,Michigan State
2008,9,4,,,Michigan State
2007,7,6,,,Michigan State
2006,4,8,,,Michigan State
2005,5,6,,,Michigan State
2004,5,7,,,Michigan State
2003,8,5,,,Michigan State
2002,4,8,,,Michigan State
2001,7,5,,,Michigan State
2000,5,6,,,Michigan State
1999,10,2,,,Michigan State
1998,6,6,,,Michigan State
1997,7,5,,,Michigan State
2016,13,1,,,Western Michigan
2015,8,5,,,Western Michigan
2014,8,5,,,Western Michigan
2013,1,11,,,Western Michigan
2012,4,8,,,Western Michigan
2011,7,6,,,Western Michigan
2010,6,6,,,Western Michigan
2009,5,7,,,Western Michigan
2008,9,4,,,Western Michigan
2007,5,7,,,Western Michigan
2006,8,5,,,Western Michigan
2005,7,4,,,Western Michigan
2004,1,10,,,Western Michigan
2003,5,7,,,Western Michigan
2002,4,8,,,Western Michigan
2001,5,6,,,Western Michigan
2000,9,3,,,Western Michigan
1999,7,5,,,Western Michigan
1998,7,4,,,Western Michigan
1997,8,3,,,Western Michigan
2016,7,6,,,Eastern Michigan
2015,1,11,,,Eastern Michigan
2014,2,10,,,Eastern Michigan
2013,2,10,,,Eastern Michigan
2012,2,10,,,Eastern Michigan
2011,6,6,,,Eastern Michigan
2010,2,10,,,Eastern Michigan
2009,0,12,,,Eastern Michigan
2008,3,9,,,Eastern Michigan
2007,4,8,,,Eastern Michigan
2006,1,11,,,Eastern Michigan
2005,4,7,,,Eastern Michigan
2004,4,7,,,Eastern Michigan
2003,3,9,,,Eastern Michigan
2002,3,9,,,Eastern Michigan
2001,2,9,,,Eastern Michigan
2000,3,8,,,Eastern Michigan
1999,4,7,,,Eastern Michigan
1998,3,8,,,Eastern Michigan
1997,4,7,,,Eastern Michigan
2016,6,7,,,Central Michigan
2015,7,6,,,Central Michigan
2014,7,6,,,Central Michigan
2013,6,6,,,Central Michigan
2012,7,6,,,Central Michigan
2011,3,9,,,Central Michigan
2010,3,9,,,Central Michigan
2009,12,2,,,Central Michigan
2008,8,5,,,Central Michigan
2007,8,6,,,Central Michigan
2006,10,4,,,Central Michigan
2005,6,5,,,Central Michigan
2004,4,7,,,Central Michigan
2003,3,9,,,Central Michigan
2002,4,8,,,Central Michigan
2001,3,8,,,Central Michigan
2000,2,9,,,Central Michigan
1999,4,7,,,Central Michigan
1998,6,5,,,Central Michigan
1997,2,9,,,Central Michigan
